,API,Formation,MD,GL,DELEV,DT,SS,New_MD
5585,490250633800,F2WC,2853.0,5184.0,5195.0,KB,2320.0,2616.81
5584,490250633800,F2WCbase,2928.0,5184.0,5195.0,KB,2245.0,2691.81
5586,490250633800,CRMT,4355.18,5184.0,5195.0,KB,817.82,4118.990000000001
5575,490250633800,MNKT,5296.76,5184.0,5195.0,KB,-123.76,5060.570000000001
5576,490250633800,OPCH,5320.46,5184.0,5195.0,KB,-147.46,5084.27
5577,490250633800,A Sand,5387.74,5184.0,5195.0,KB,-214.74,5151.55
5578,490250633800,B Dolo,5414.52,5184.0,5195.0,KB,-241.52,5178.330000000001
5579,490250633800,B Sand,5435.26,5184.0,5195.0,KB,-262.26,5199.070000000001
5583,490250633800,C1 Dolo,5498.56,5184.0,5195.0,KB,-325.56,5262.370000000001
5582,490250633800,AMSD,5544.23,5184.0,5195.0,KB,-371.23,5308.04
5581,490250633800,MDSN,5814.75,5184.0,5195.0,KB,-641.75,5578.56
5580,490250633800,PC,6848.08,5184.0,5195.0,KB,-1675.08,6611.89
2251,490251103200,SSXS,38.62,5108.0,5120.0,KB,5057.38,-197.57
2252,490251103200,SSXbase,87.98,5108.0,5120.0,KB,5008.02,-148.20999999999998
2249,490251103200,SHNNu,452.75,5108.0,5120.0,KB,4643.25,216.56
2250,490251103200,SHNNl,547.16,5108.0,5120.0,KB,4548.84,310.96999999999997
2243,490251103200,SHNNbs,622.23,5108.0,5120.0,KB,4473.77,386.04
2253,490251103200,StBR,848.07,5108.0,5120.0,KB,4247.93,611.8800000000001
2256,490251103200,StFT,1233.64,5108.0,5120.0,KB,3862.36,997.45
2254,490251103200,StGD,1734.73,5108.0,5120.0,KB,3361.27,1498.54
2255,490251103200,StAM,1838.83,5108.0,5120.0,KB,3257.17,1602.6399999999999
2244,490251103200,NBRRws,1968.73,5108.0,5120.0,KB,3127.27,1732.54
2245,490251103200,NBRRsg,2200.21,5108.0,5120.0,KB,2895.79,1964.02
2246,490251103200,CRLL,2344.52,5108.0,5120.0,KB,2751.48,2108.33
2242,490251103200,F1WC,2579.43,5108.0,5120.0,KB,2516.57,2343.24
2247,490251103200,F1WC,2580.92,5108.0,5120.0,KB,2515.08,2344.73
2259,490251103200,F1WCBench1Base,2600.13,5108.0,5120.0,KB,2495.87,2363.94
2260,490251103200,F1WCBench2Top,2613.78,5108.0,5120.0,KB,2482.22,2377.59
2261,490251103200,F1WCbase,2698.32,5108.0,5120.0,KB,2397.68,2462.13
2258,490251103200,B1,2737.53,5108.0,5120.0,KB,2358.47,2501.34
2248,490251103200,F2WC,2898.73,5108.0,5120.0,KB,2197.27,2662.54
2241,490251103200,F2WC,2901.39,5108.0,5120.0,KB,2194.61,2665.2
2257,490251103200,F2WCbase,2961.13,5108.0,5120.0,KB,2134.87,2724.94
3293,490252319500,SHNNu,224.74,5105.0,5114.6,KB,4870.66,224.74
3292,490252319500,SHNNl,311.84,5105.0,5114.6,KB,4783.56,311.84
3294,490252319500,SHNNbs,386.04,5105.0,5114.6,KB,4709.36,386.04
3264,490252319500,StBR,630.0,5105.0,5114.6,KB,4465.4,630.0
3265,490252319500,StFT,1013.0,5105.0,5114.6,KB,4082.4,1013.0
3266,490252319500,StGD,1527.0,5105.0,5114.6,KB,3568.4,1527.0
3267,490252319500,StAM,1626.0,5105.0,5114.6,KB,3469.4,1626.0
3268,490252319500,NBRRws,1758.0,5105.0,5114.6,KB,3337.4,1758.0
3269,490252319500,NBRRsg,1994.0,5105.0,5114.6,KB,3101.4,1994.0
3270,490252319500,CRLL,2222.0,5105.0,5114.6,KB,2873.4,2222.0
3271,490252319500,F1WC,2470.84,5105.0,5114.6,KB,2624.56,2470.84
3289,490252319500,F1WCbase,2569.06,5105.0,5114.6,KB,2526.34,2569.06
3291,490252319500,B1,2679.0,5105.0,5114.6,KB,2416.4,2679.0
3263,490252319500,F2WC,2847.51,5105.0,5114.6,KB,2247.89,2847.51
3287,490252319500,F2WCbase,2911.45,5105.0,5114.6,KB,2183.95,2911.45
3272,490252319500,F3WC,3102.0,5105.0,5114.6,KB,1993.4,3102.0
3288,490252319500,F3WCbase,3110.87,5105.0,5114.6,KB,1984.53,3110.87
3273,490252319500,MWRY,3374.0,5105.0,5114.6,KB,1721.4,3374.0
3274,490252319500,MDDY,3617.0,5105.0,5114.6,KB,1478.4,3617.0
3275,490252319500,THRM,3623.0,5105.0,5114.6,KB,1472.4,3623.0
3276,490252319500,DKOT,3768.0,5105.0,5114.6,KB,1327.4,3768.0
3277,490252319500,LKOT,3846.0,5105.0,5114.6,KB,1249.4,3846.0
3278,490252319500,MRSN,3876.0,5105.0,5114.6,KB,1219.4,3876.0
3279,490252319500,SNDCu,4076.0,5105.0,5114.6,KB,1019.4,4076.0
3280,490252319500,CNSP,4328.0,5105.0,5114.6,KB,767.4,4328.0
3281,490252319500,CRMT,4394.0,5105.0,5114.6,KB,701.4,4394.0
3282,490252319500,ALCV,4478.0,5105.0,5114.6,KB,617.4,4478.0
3283,490252319500,RDPK,4500.0,5105.0,5114.6,KB,595.4,4500.0
3284,490252319500,ERVY,5116.0,5105.0,5114.6,KB,-20.6,5116.0
3285,490252319500,FRLL,5302.0,5105.0,5114.6,KB,-206.6,5302.0
3286,490252319500,GLND,5347.0,5105.0,5114.6,KB,-251.6,5347.0
3262,490252319500,MNKT,5379.84,5105.0,5114.6,KB,-284.44,5379.84
3261,490252319500,OPCH,5397.43,5105.0,5114.6,KB,-302.03,5397.43
3248,490252319500,A Sand,5459.63,5105.0,5114.6,KB,-364.23,5459.63
3249,490252319500,B Dolo,5486.65,5105.0,5114.6,KB,-391.25,5486.65
3250,490252319500,B Sand,5506.66,5105.0,5114.6,KB,-411.26,5506.66
3252,490252319500,C1 Dolo,5567.68,5105.0,5114.6,KB,-472.28,5567.68
3251,490252319500,C1 Sand,5569.68,5105.0,5114.6,KB,-474.28,5569.68
3253,490252319500,C2 Dolo,5576.69,5105.0,5114.6,KB,-481.29,5576.69
3254,490252319500,C2 Sand,5577.69,5105.0,5114.6,KB,-482.29,5577.69
3255,490252319500,C3 Sand,5588.69,5105.0,5114.6,KB,-493.29,5588.69
3256,490252319500,C4 Dolo,5603.7,5105.0,5114.6,KB,-508.3,5603.7
3257,490252319500,C4 Sand,5610.7,5105.0,5114.6,KB,-515.3,5610.7
3258,490252319500,D Dolo,5621.7,5105.0,5114.6,KB,-526.3,5621.7
3260,490252319500,D Sand,5640.71,5105.0,5114.6,KB,-545.31,5640.71
3259,490252319500,E Dolo,5660.72,5105.0,5114.6,KB,-565.32,5660.72
