Formation,n_picks,n_holdout,MAE,RMSE,Std
SSXS,264,65.25,33.7,54.08124948,52.28468302
SSXbase,351,86.5,15.25,28.58295719,28.31441186
SHNNu,916,212,8.2,19.05274557,19.0216004
SHNNl,920,213.75,8.125,20.58460293,20.55014087
SHNNbs,669,163,8.625,24.13299513,24.01914749
StBR,100,25,11.05,16.10533715,15.2408687
StFT,100,25,12.85,19.99334181,19.75523263
StGD,90,22.5,12.35,19.25718023,18.79175435
StAM,108,27,13.125,23.2364725,21.9540392
NBRRws,189,47,19,30.16298545,29.92478133
NBRRsg,188,47,16,28.36546256,27.94487079
CRLL,268,66.25,18.6,35.54647316,35.34212165
F1WC,332,83,20.525,53.93582628,53.78318959
F1WCBench1Base,95,23.5,35.425,100.2093795,97.65456073
F1WCBench2Top,88,22,23.275,30.36065683,29.19523387
F1WCBench2Base,73,18.25,12.15,17.89705947,17.39835958
F1WCBench3Top,74,18.5,10.65,16.94773549,16.42569407
F1WCbase,332,83,45.6,55.83361528,55.37875898
B1,276,68.75,12.6,17.68884348,17.595493
F2WC,324,80.25,17.65,28.89562819,28.54851569
F2WCbase,289,71.25,14.75,22.098214,21.64779797
F3WC,54,13.5,18.825,26.2332572,25.70630422
F3WCbase,44,11,10.85,16.04424091,14.9760394
MWRY,53,13.25,34.7,70.44225436,66.87571463
MDDY,31,7.75,17.125,23.35888911,21.95287226
THRM,29,7.25,16.625,21.54169435,20.6021102
DKOT,46,11.5,20.3,27.55681961,26.71394067
LKOT,31,7.75,19.05,24.41761167,22.29193339
MRSN,31,7.75,29.725,38.21547159,32.03425045
SNDCu,5.25,3.5,90.26666667,120.4804735,134.7074535
CNSP,2.5,3.75,30.65,34.18076714,42.93114873
CRMT,18,4.5,16.825,21.29095191,14.52951869
ALCV,15,3.75,16.8,21.03119359,15.67219401
RDPK,15,3.75,16.4,19.68866189,16.74597703
ERVY,0,2,,,
FRLL,2.25,1.5,34.93333333,34.90289033,
GLND,0,1,,,
MNKT,36,9,14.975,21.09090319,18.8676462
OPCH,34,8.5,12.325,18.46510902,16.32850083
A Sand,33,8.25,10,15.00465438,13.44252117
B Dolo,35,8.75,10.825,16.35403812,16.09803237
B Sand,35,8.75,9.3,14.48165059,13.9192071
C1 Dolo,32,8,7.15,8.570751602,8.063206264
C1 Sand,1,1.5,150.15,150.1272972,
C2 Dolo,1,1.5,136.25,136.2841716,
C2 Sand,3.75,2.5,36.83333333,40.07142541,86.63903592
C3 Dolo,3,2,51.56666667,51.58139974,0.643092959
C3 Sand,3.75,2.5,10.6,11.08283784,3.96744589
C4 Dolo,2.5,3.75,43.7,45.58334206,12.37679247
C4 Sand,5,1.25,3.025,3.159795571,3.678239193
D Dolo,1,1.5,157,157.0298223,
D Sand,0,1,,,
E Dolo,0,1,,,
AMSD,0,1,,,
MDSN,0,1,,,
PC,0,1,,,
